id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y
1,201456.3,12704,0,100,6.30683215,962.5,90493.75,56768.75,50,1062.5,33131.25,0,18987.5,0,0,227.967358,19367,15550,79,FINLAND,130.97
2,47600,1045,79.18,20.82,2.19586345,0,31218.75,12143.75,0,1231.25,1956.25,0,1050,0,0,350.182435,1147,907,91.6000032,SWEDEN,15.15
3,3142212.5,51816,57.22,42.78,1.64908617,174131.25,1657675,719143.75,132393.75,132600,84325,40731.25,198200,0,3012.5,507.281134,49283,38939,91.5661102,SWEDEN,890.08
4,336500,46058,28.13,71.87,13.690664,7387.5,202606.25,68675,487.5,150,42193.75,0,12675,0,2325,567.565978,24747,19553,91.6000032,SWEDEN,1346.24708
5,89275,206029,92.07,7.93,230.734349,0,23962.5,36625,0,193.75,25262.5,0,331.25,0,2900,346.444776,14767,11857,79,FINLAND,576.5275
6,103956.3,4471,2.67,97.33,4.30074894,1162.5,70512.5,17793.75,0,0,10031.25,0,4456.25,0,0,184.857174,5883,4649,91.6000032,SWEDEN,43.2525
7,1194537.5,832854,55.89,44.11,69.7218798,23043.75,45687.5,51500,173406.25,4981.25,848975,0,36900,0,10043.75,424.609738,810673,492596,87.6264406,MISSING,14543.6475
8,977287.5,1363105,75.82,24.18,139.478403,14812.5,29662.5,24418.75,113437.5,2287.5,725975,0,38300,0,28393.75,160.641604,693624,423994,89.1999981,MISSING,5383.83
9,158193.8,102079,45.69,54.31,64.5278337,1087.5,8781.25,8712.5,1225,1956.25,124343.75,0,10318.75,0,1768.75,176.954596,400891,68099,88.6000013,MISSING,1662.735
10,1616431.3,3479051,88.12,11.88,215.230372,14331.25,39193.75,44450,19500,7500,1293218.75,0,90637.5,0,107600,237.123309,4109321,707976,88.6241735,MISSING,26365.275
11,959356.3,768897,61.77,38.23,80.147182,11018.75,17750,49212.5,31993.75,1531.25,803068.75,0,22762.5,0,22018.75,594.138285,2606279,442723,88.6000013,MISSING,34209.8925
12,312093.8,30626,23.67,76.33,9.813077,14800,93343.75,75462.5,30675,2056.25,64525,0,30781.25,0,450,466.233339,10952,10612,70.2,MISSING,2764.885
13,825931.3,619662,86.45,13.55,75.0258572,54475,172775,163993.75,77806.25,3818.75,316243.75,0,19725,0,17093.75,308.723403,54868,53162,70.2,MISSING,3844.0225
14,516362.5,59584,40.11,59.89,11.5391803,55306.25,68206.25,120981.25,44143.75,4768.75,181400,0,40037.5,0,1518.75,87.6256812,30965,30028,70.0681519,MISSING,772.9725
15,1068368.8,310930,71.72,28.28,29.1032474,10631.25,389887.5,443343.75,68.75,21931.25,149687.5,0,43637.5,0,9181.25,388.028675,87182,70000,78.9984207,MISSING,1789.6675
16,760450,143333,52.99,47.01,18.848445,1587.5,469756.25,122375,93.75,2112.5,58025,0,105518.75,0,981.25,477.687374,33769,27114,79,MISSING,4153.1925
17,1077412.5,990629,91.03,8.97,91.9451928,4368.75,496075,295881.25,450,6125,132293.75,0,117106.25,0,25112.5,207.23119,77069,61884,78.8319812,MISSING,1496.0075
18,458031.3,367640,72.35,27.65,80.2652657,16256.25,27931.25,62787.5,45462.5,1137.5,283850,0,10643.75,0,9962.5,806.704166,77558,67587,57.1001365,MISSING,5776.84
